"bin_extents","bin_values"
0.27,202
0.81,3909
1.35,22410
1.89,41569
2.43,33574
2.97,18108
3.51,9184
4.05,5349
4.59,3225
5.13,2228
5.67,1715
6.21,1448
6.75,1120
7.29,1006
7.83,929
8.37,875
8.91,720
9.45,762
9.99,617
10.53,634
11.07,554
11.61,633
12.15,539
12.69,561
13.23,685
13.77,602
14.31,696
14.85,715
15.39,562
15.93,567
16.47,603
17.01,621
17.55,475
18.09,383
18.63,309
19.17,294
19.71,286
20.25,329
20.79,255
21.33,316
21.87,290
22.41,279
22.95,322
23.49,338
24.03,365
24.57,334
25.11,476
25.65,380
26.19,276
26.73,2940
